"GENE","baseMean.6","log2FoldChange.6","lfcSE.6","stat.6","pvalue.6","padj.6","baseMean.11","log2FoldChange.11","lfcSE.11","stat.11","pvalue.11","padj.11"
"ENSG00000155090",3219.37748272495,-3.17154325272726,0.391431249727517,-8.10242732263976,5.38733267858046e-16,6.8552223825325e-13,687.742973934431,-3.99405100702889,0.572980111000196,-6.97066255939819,3.15451782068743e-12,5.49900857377782e-11
"ENSG00000156804",6627.3061771391,-3.39662875472241,0.419158841296262,-8.10344055780437,5.34263363851537e-16,6.8552223825325e-13,1657.36556523383,-2.92397502546868,0.432094226674452,-6.76698471065585,1.31493966168331e-11,1.90672416650528e-10
"ENSG00000162772",363.427737118585,-4.37576254320669,0.599698372943232,-7.2966056614946,2.95118104947395e-13,1.93454389279456e-10,90.6302590560423,-3.17503248963781,0.43328218359833,-7.32786301820617,2.33851558793424e-13,5.62930579021825e-12
"ENSG00000165507",6750.84894881786,-4.68084053930953,0.565526985038041,-8.27695346667616,1.26366576745349e-16,2.27796815679615e-13,1457.96516851779,-4.55586365524575,0.620737808566635,-7.33943315901095,2.14500353185e-13,5.2231117497074e-12
"ENSG00000166793",215.287528019664,-2.15390235239599,0.330189314713319,-6.52323457004078,6.88071252270581e-11,2.91850143708181e-08,54.1375503905553,-2.40257938677976,0.306030662302246,-7.85077994703319,4.1345786001653e-15,1.68385160250981e-13
"ENSG00000168209",5714.3868855073,-4.17186168908038,0.457124064188352,-9.12632262422618,7.08655807326892e-20,2.55494040401589e-16,1170.91245947658,-5.2520493412848,0.593379069065911,-8.85108628713936,8.66715144935451e-19,8.17160882685381e-17
"ENSG00000177575",3119.92006262067,-4.20624536771058,0.66832591898586,-6.2937037876569,3.09979089319786e-10,1.09924850680969e-07,674.297808302368,-4.35007800855275,0.650486120106915,-6.68742633253691,2.27129478962125e-11,3.07616208485141e-10
"ENSG00000177606",1693.58447932414,-3.17778847700557,0.431258972023948,-7.36863157209654,1.7238834498549e-13,1.24303489290871e-10,339.44265842634,-4.7676159261908,0.451475370902394,-10.5600797595259,4.56273971768469e-26,1.79365938376474e-23
"ENSG00000197930",1801.92555495165,-2.17421432619403,0.337625464482904,-6.43972257698035,1.19692073186583e-10,4.79477579105955e-08,385.3143541867,-3.26281364998352,0.305137046093167,-10.6929449955653,1.09827205625739e-26,4.67390329115703e-24
"ENSG00000211445",18529.5147768645,-4.21280312582701,0.537821804323939,-7.83308354543686,4.76047749324309e-15,5.41992890178077e-12,3847.91922795644,-5.02831789439827,0.58796517670469,-8.55206752648173,1.20903007245654e-17,8.95899009122069e-16
